match_id,elo_winner,elo_loser,surface_elo_winner,surface_elo_loser,blended_elo_winner,blended_elo_loser
Doha_2018_105376_105936,1800.0,1900.0,1800.0,1900.0,1800.0,1900.0
Doha_2018_126610_104678,1600.0,1800.0,1600.0,1800.0,1600.0,1800.0
Doha_2018_106432_105807,1900.0,2000.0,1900.0,2000.0,1900.0,2000.0
Doha_2018_105379_104291,1900.0,1800.0,1900.0,1800.0,1900.0,1800.0
Pune_2018_104898_104882,1900.0,1800.0,1900.0,1800.0,1900.0,1800.0
Doha_2018_105526_104607,1800.0,1900.0,1800.0,1900.0,1800.0,1900.0
Doha_2018_103852_104198,1900.0,1800.0,1900.0,1800.0,1900.0,1800.0
Doha_2018_105550_105077,1800.0,1900.0,1800.0,1900.0,1800.0,1900.0
Doha_2018_104792_103893,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0
Pune_2018_125802_111576,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0
Doha_2018_104755_103607,1900.0,1800.0,1900.0,1800.0,1900.0,1800.0
Pune_2018_106026_111459,1600.0,1500.0,1600.0,1500.0,1600.0,1500.0
Doha_2018_105882_106325,1600.0,1500.0,1600.0,1500.0,1600.0,1500.0
Pune_2018_111513_105657,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
Pune_2018_106329_105074,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0
Doha_2018_105376_126610,1849.386728529548,1658.6212575739594,1849.386728529548,1658.6212575739594,1849.3867285295482,1658.6212575739594
Doha_2018_104792_105526,1938.579463448835,1849.386728529548,1938.579463448835,1849.386728529548,1938.5794634488352,1849.3867285295482
Brisbane_2018_106401_105051,1900.0,1838.579463448835,1900.0,1838.579463448835,1900.0,1838.5794634488352
Brisbane_2018_111581_104999,1658.6212575739594,1911.6494206179111,1658.6212575739594,1911.6494206179111,1658.6212575739594,1911.6494206179113
Brisbane_2018_200282_105683,1665.509506279759,1900.0,1665.509506279759,1900.0,1665.509506279759,1900.0
Doha_2018_106432_105932,1949.386728529548,1838.579463448835,1949.386728529548,1838.579463448835,1949.3867285295482,1838.5794634488352
Doha_2018_105806_103852,1638.579463448835,1927.772198368122,1638.579463448835,1927.772198368122,1638.5794634488352,1927.7721983681222
Doha_2018_126094_104269,1927.772198368122,1927.772198368122,1927.772198368122,1927.772198368122,1927.7721983681222,1927.7721983681222
Doha_2018_105550_105882,1849.386728529548,1627.772198368122,1849.386728529548,1627.772198368122,1849.3867285295482,1627.7721983681222
Brisbane_2018_105238_104547,1938.579463448835,1818.5376693237108,1938.579463448835,1818.5376693237108,1938.5794634488352,1818.5376693237108
Doha_2018_126774_104755,1838.579463448835,1927.772198368122,1838.579463448835,1927.772198368122,1838.5794634488352,1927.7721983681222
Pune_2018_105332_105916,1900.0,1838.579463448835,1900.0,1838.579463448835,1900.0,1838.5794634488352
Pune_2018_104731_106329,1900.0,1638.579463448835,1900.0,1638.579463448835,1900.0,1638.5794634488352
Pune_2018_106120_125802,1658.6212575739594,1638.579463448835,1658.6212575739594,1638.579463448835,1658.6212575739594,1638.5794634488352
Pune_2018_105227_106368,2000.0,1638.579463448835,2000.0,1638.579463448835,2000.0,1638.5794634488352
Doha_2018_106233_105379,2018.5376693237108,1927.772198368122,2018.5376693237108,1927.772198368122,2018.5376693237108,1927.7721983681222
Pune_2018_104468_105138,1838.579463448835,1900.0,1838.579463448835,1900.0,1838.5794634488352,1900.0
Pune_2018_104898_111797,1927.772198368122,1627.772198368122,1927.772198368122,1627.772198368122,1927.7721983681222,1627.7721983681222
Pune_2018_105732_106026,1818.5376693237108,1627.772198368122,1818.5376693237108,1627.772198368122,1818.5376693237108,1627.7721983681222
Pune_2018_105062_111513,1838.579463448835,1838.579463448835,1838.579463448835,1838.579463448835,1838.5794634488352,1838.5794634488352
Doha_2018_106233_126774,2046.1258222364588,1884.9421326080342,2046.1258222364588,1884.9421326080342,2046.1258222364588,1884.9421326080344
Brisbane_2018_104797_111577,1849.386728529548,1838.579463448835,1849.386728529548,1838.579463448835,1849.3867285295482,1838.5794634488352
Brisbane_2018_105992_105870,1927.772198368122,1600.0,1927.772198368122,1600.0,1927.7721983681222,1600.0
Brisbane_2018_106378_111202,1927.772198368122,1849.386728529548,1927.772198368122,1849.386728529548,1927.7721983681222,1849.3867285295482
Doha_2018_105550_105806,1865.7842986800879,1701.5656819764786,1865.7842986800879,1701.5656819764786,1865.784298680088,1701.5656819764786
Doha_2018_126094_106432,1964.9822953770988,1975.3332255921603,1964.9822953770988,1975.3332255921603,1964.982295377099,1975.3332255921603
Brisbane_2018_105777_105357,2000.0,1638.579463448835,2000.0,1638.579463448835,2000.0,1638.5794634488352
Pune_2018_105227_105732,2008.565121984293,1837.0645749492867,2008.565121984293,1837.0645749492867,2008.565121984293,1837.064574949287
Pune_2018_104731_105062,1914.0199429772058,1875.6468550735833,1914.0199429772058,1875.6468550735833,1914.019942977206,1875.6468550735835
Pune_2018_105332_104898,1931.8294599760607,1939.0507903447794,1931.8294599760607,1939.0507903447794,1931.829459976061,1939.0507903447794
Doha_2018_104792_105376,1966.8196885557861,1868.1831728697136,1966.8196885557861,1868.1831728697136,1966.8196885557861,1868.1831728697136
Pune_2018_104468_106120,1882.2140317431922,1693.6454975541785,1882.2140317431922,1693.6454975541785,1882.2140317431922,1693.6454975541787
Brisbane_2018_105992_104797,1937.5325766708588,1885.3967995255052,1937.5325766708588,1885.3967995255052,1937.532576670859,1885.3967995255052
Doha_2018_126094_105550,2002.3401670827154,1886.2775908842887,2002.3401670827154,1886.2775908842887,2002.3401670827157,1886.2775908842889
Brisbane_2018_106401_105238,1931.8294599760607,1963.3082462390994,1931.8294599760607,1963.3082462390994,1931.829459976061,1963.3082462390996
Brisbane_2018_105777_106378,2008.565121984293,1956.658903218466,2008.565121984293,1956.658903218466,2008.565121984293,1956.6589032184663
