ATP,tourney_location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,loser_id,winner_id,match_id
30,Paris,French Open,2021-06-01,Grand Slam,Outdoor,Clay,1st Round,5,Struff J.L.,Rublev A.,42,7.0,1500,6090.0,6.0,3.0,7.0,6.0,4.0,6.0,3.0,6.0,6.0,4.0,3.0,2.0,Completed,6.5,1.11,7.38,1.13,8.5,1.13,7.14,1.1,126094,105526,Paris_2021_105526_126094
30,Paris,French Open,2021-06-01,Grand Slam,Outdoor,Clay,1st Round,5,Monfils G.,Ramos-Vinolas A.,15,38.0,2713,1595.0,1.0,6.0,7.0,6.0,6.0,4.0,6.0,4.0,,,3.0,1.0,Completed,2.3,1.61,2.22,1.74,2.59,1.77,2.21,1.67,105077,104792,Paris_2021_104792_105077
30,Paris,French Open,2021-06-01,Grand Slam,Outdoor,Clay,1st Round,5,Seppi A.,Auger-Aliassime F.,98,21.0,811,2423.0,6.0,3.0,7.0,6.0,4.0,6.0,6.0,4.0,,,3.0,1.0,Completed,10.0,1.06,11.2,1.07,12.75,1.07,10.21,1.05,200000,104312,Paris_2021_104312_200000
30,Paris,French Open,2021-06-01,Grand Slam,Outdoor,Clay,1st Round,5,Bagnis F.,Bonzi B.,104,116.0,778,693.0,7.0,5.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,1.72,2.1,1.83,2.09,1.87,2.19,1.78,2.04,126127,105487,Paris_2021_105487_126127
30,Paris,French Open,2021-06-01,Grand Slam,Outdoor,Clay,1st Round,5,Kohlschreiber P.,Verdasco F.,132,99.0,572,795.0,7.0,6.0,6.0,2.0,2.0,6.0,6.0,4.0,,,3.0,1.0,Completed,1.72,2.1,1.74,2.22,1.78,2.28,1.7,2.16,104269,104259,Paris_2021_104259_104269
30,Paris,French Open,2021-06-01,Grand Slam,Outdoor,Clay,1st Round,5,Nadal R.,Popyrin A.,3,63.0,9630,1052.0,6.0,3.0,6.0,2.0,7.0,6.0,,,,,3.0,0.0,Completed,1.01,23.0,1.01,29.38,1.02,34.0,1.01,21.96,200615,104745,Paris_2021_104745_200615
30,Paris,French Open,2021-06-01,Grand Slam,Outdoor,Clay,1st Round,5,Coria F.,Lopez F.,94,62.0,838,1072.0,6.0,3.0,7.0,6.0,6.0,2.0,,,,,3.0,0.0,Completed,1.57,2.37,1.65,2.38,1.67,2.53,1.6,2.35,103852,105948,Paris_2021_105948_103852
30,Paris,French Open,2021-06-01,Grand Slam,Outdoor,Clay,1st Round,5,Schwartzman D.,Lu Y.,10,680.0,3465,35.0,6.0,2.0,6.0,2.0,6.0,3.0,,,,,3.0,0.0,Completed,1.01,23.0,1.01,29.16,1.02,34.0,1.01,21.2,104229,106043,Paris_2021_106043_104229
30,Paris,French Open,2021-06-01,Grand Slam,Outdoor,Clay,1st Round,5,Gasquet R.,Gaston H.,53,141.0,1213,531.0,6.0,1.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,Completed,1.72,2.1,1.75,2.2,1.82,2.29,1.72,2.14,200384,104755,Paris_2021_104755_200384
30,Paris,French Open,2021-06-01,Grand Slam,Outdoor,Clay,1st Round,5,Berrettini M.,Daniel T.,9,113.0,3958,716.0,6.0,0.0,6.0,4.0,4.0,6.0,6.0,4.0,,,3.0,1.0,Completed,1.07,9.0,1.08,9.87,1.08,21.0,1.06,10.64,106121,126610,Paris_2021_126610_106121
30,Paris,French Open,2021-06-01,Grand Slam,Outdoor,Clay,1st Round,5,Kwon S.W.,Anderson K.,91,100.0,854,795.0,7.0,5.0,6.0,4.0,2.0,6.0,7.0,6.0,,,3.0,1.0,Completed,2.75,1.44,2.95,1.46,3.2,1.46,2.91,1.41,104731,126952,Paris_2021_126952_104731
30,Paris,French Open,2021-06-01,Grand Slam,Outdoor,Clay,1st Round,5,Cuevas P.,Pouille L.,92,86.0,846,892.0,6.0,3.0,6.0,1.0,6.0,3.0,,,,,3.0,0.0,Completed,1.4,3.0,1.47,2.93,1.53,3.06,1.43,2.85,106298,104655,Paris_2021_104655_106298
30,Paris,French Open,2021-06-01,Grand Slam,Outdoor,Clay,1st Round,5,Djokovic N.,Sandgren T.,1,66.0,11313,1033.0,6.0,2.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,Completed,29.0,0.967,1.01,31.38,1.02,35.0,1.01,23.01,105815,104925,Paris_2021_104925_105815
