tournament_id,tournament_name,tournament_location,tournament_level,draw_size,Surface,indoor_or_outdoor
2022-1536,Mutua Madrid Open,Madrid,M,64.0,clay,Outdoor
2022-0416,Internazionali BNL d'Italia,Rome,M,64.0,clay,Outdoor
2022-0322,Geneva Open,Geneva,A,32.0,clay,Outdoor
2022-7694,Lyon Open,Lyon,A,32.0,clay,Outdoor
2022-520,French Open,Paris,G,128.0,clay,Outdoor
2022-0321,Mercedes Cup,Stuttgart,A,32.0,grass,Outdoor
2022-0440,Rosmalen Grass Court Championships,'s-Hertogenbosch,A,32.0,grass,Outdoor
2022-0500,Halle Open,Halle,A,32.0,grass,Outdoor
2022-0311,Queen's Club Championships,Queens Club,A,32.0,grass,Outdoor
2022-8994,Mallorca Championships,Mallorca,A,32.0,grass,Outdoor
2022-0741,Eastbourne International,Eastbourne,A,32.0,grass,Outdoor
2022-540,Wimbledon,London,G,128.0,grass,Outdoor
2022-0315,Hall of Fame Championships,Newport,A,32.0,grass,Outdoor
2022-0316,Nordea Open,Bastad,A,32.0,clay,Outdoor
2022-0314,Suisse Open Gstaad,Gstaad,A,32.0,clay,Outdoor
2022-0414,European Open,Hamburg,A,32.0,clay,Outdoor
2022-6116,Atlanta Open,Atlanta,A,32.0,hard,Outdoor
2022-0319,Generali Open,Kitzbuhel,A,32.0,clay,Outdoor
2022-0439,Croatia Open,Umag,A,32.0,clay,Outdoor
2022-0418,Citi Open,Washington,A,64.0,hard,Outdoor
2022-7480,Los Cabos Open,Los Cabos,A,32.0,hard,Outdoor
2022-0421,Canadian Open,Montreal,M,64.0,hard,Outdoor
2022-0422,Western & Southern Financial Group Masters,Cincinnati,M,64.0,hard,Outdoor
2022-6242,Winston-Salem Open at Wake Forest University,Winston-Salem,A,64.0,hard,Outdoor
2022-560,US Open,New York,G,128.0,hard,Outdoor
2022-9569,San Diego Open,San Diego,A,32.0,hard,Outdoor
2022-0341,Open de Moselle,Metz,A,32.0,hard,Indoor
2022-4140,Korea Open,Seoul,A,32.0,hard,Outdoor
2022-7434,Sofia Open,Sofia,A,32.0,hard,Indoor
2022-4138,Tel Aviv Open,Tel Aviv,A,32.0,hard,Indoor
2022-0329,Rakuten Japan Open Tennis Championships,Tokyo,A,32.0,hard,Outdoor
2022-9410,Astana Open,Nur-Sultan,A,32.0,hard,Indoor
2022-2807,Gijon Open,Gijon,A,32.0,hard,Indoor
2022-2805,Firenze Open,Florence,A,32.0,hard,Indoor
2022-0429,Stockholm Open,Stockholm,A,32.0,hard,Indoor
